percentage,,percentage,ket,elapsed_time,gpu_used
70,0,70,Dataloader,696.029604434967,464.53662109375
70,1,70,Train,1353.61079287529,418.818359375
70,2,70,Test,27.878724575042725,418.759765625
70,3,,Total,2077.5191218852997,418.759765625
