percentage,,percentage,ket,elapsed_time,gpu_used
30,0,30,Dataloader,293.2348463535309,463.82470703125
30,1,30,Train,264.7997057437897,418.818359375
30,2,30,Test,5.950031757354736,418.759765625
30,3,,Total,563.9845838546753,418.759765625
