percentage,,percentage,ket,elapsed_time,gpu_used
90,0,90,Dataloader,879.0267477035522,465.40673828125
90,1,90,Train,2160.3208124637604,418.818359375
90,2,90,Test,44.423407316207886,418.759765625
90,3,,Total,3083.7709674835205,418.759765625
