percentage,,percentage,ket,elapsed_time,gpu_used
30,0,30,Dataloader,288.219961643219,503.58349609375
30,1,30,Train,269.83982586860657,476.81640625
30,2,30,Test,6.0096635818481445,476.7578125
30,3,,Total,564.0694510936737,476.7578125
