percentage,,percentage,ket,elapsed_time,gpu_used
20,0,20,Dataloader,195.7742886543274,463.82470703125
20,1,20,Train,143.17284107208252,421.48291015625
20,2,20,Test,3.0148813724517822,420.67822265625
20,3,,Total,341.9620110988617,420.67822265625
