percentage,,percentage,ket,elapsed_time,gpu_used
20,0,20,Dataloader,194.60915803909302,463.82470703125
20,1,20,Train,143.37041306495667,421.48291015625
20,2,20,Test,3.0346951484680176,420.67822265625
20,3,,Total,341.0142662525177,420.67822265625
