percentage,,percentage,ket,elapsed_time,gpu_used
70,0,70,Dataloader,639.3694791793823,503.58349609375
70,1,70,Train,1320.809677362442,476.81640625
70,2,70,Test,27.457695245742798,476.7578125
70,3,,Total,1987.6368517875671,476.7578125
