percentage,,percentage,ket,elapsed_time,gpu_used
70,0,70,Dataloader,659.5487334728241,503.58349609375
70,1,70,Train,1377.1104102134705,479.48095703125
70,2,70,Test,27.960182189941406,478.67626953125
70,3,,Total,2064.619325876236,478.67626953125
