percentage,,percentage,ket,elapsed_time,gpu_used
40,0,40,Dataloader,372.1490409374237,503.58349609375
40,1,40,Train,454.1458592414856,476.81640625
40,2,40,Test,9.819776058197021,476.7578125
40,3,,Total,836.1146762371063,476.7578125
