percentage,,percentage,ket,elapsed_time,gpu_used
60,0,60,Dataloader,549.8960902690887,503.58349609375
60,1,60,Train,1019.4396088123322,479.48095703125
60,2,60,Test,20.974214553833008,478.67626953125
60,3,,Total,1590.309913635254,478.67626953125
