percentage,,percentage,ket,elapsed_time,gpu_used
20,0,20,Dataloader,206.89938855171204,463.82470703125
20,1,20,Train,126.84404850006104,418.818359375
20,2,20,Test,2.915858507156372,418.759765625
20,3,,Total,336.65929555892944,418.759765625
