percentage,,percentage,ket,elapsed_time,gpu_used
80,0,80,Dataloader,738.3869738578796,522.33837890625
80,1,80,Train,1784.2075061798096,479.48095703125
80,2,80,Test,35.97669506072998,478.67626953125
80,3,,Total,2558.571175098419,478.67626953125
