percentage,,percentage,ket,elapsed_time,gpu_used
80,0,80,Dataloader,755.4062478542328,522.33837890625
80,1,80,Train,1790.1707046031952,479.48095703125
80,2,80,Test,35.99809527397156,478.67626953125
80,3,,Total,2581.5750477313995,478.67626953125
