percentage,,percentage,ket,elapsed_time,gpu_used
60,0,60,Dataloader,566.2301802635193,464.53662109375
60,1,60,Train,1049.9265394210815,421.48291015625
60,2,60,Test,21.08799433708191,420.67822265625
60,3,,Total,1637.2447140216827,420.67822265625
