percentage,,percentage,ket,elapsed_time,gpu_used
50,0,50,Dataloader,459.0083079338074,503.58349609375
50,1,50,Train,727.5797410011292,479.48095703125
50,2,50,Test,15.039973735809326,478.67626953125
50,3,,Total,1201.6280226707458,478.67626953125
