percentage,Unnamed: 1,percentage.1,ket,elapsed_time,gpu_used,dataset,experiment,file_path,subset_percentage_file
10,3,,Total,144.4468207359314,420.67822265625,ag-news-bert-whitening-pca,ag-news-bert-whitening-pca-bilstm,save\ag-news-bert-whitening-pca\ag-news-bert-whitening-pca-bilstm\summary_efficiency_10.csv,10
100,3,,Total,3817.730136156082,420.67822265625,ag-news-bert-whitening-pca,ag-news-bert-whitening-pca-bilstm,save\ag-news-bert-whitening-pca\ag-news-bert-whitening-pca-bilstm\summary_efficiency_100.csv,100
20,3,,Total,341.9620110988617,420.67822265625,ag-news-bert-whitening-pca,ag-news-bert-whitening-pca-bilstm,save\ag-news-bert-whitening-pca\ag-news-bert-whitening-pca-bilstm\summary_efficiency_20.csv,20
30,3,,Total,587.8173804283142,420.67822265625,ag-news-bert-whitening-pca,ag-news-bert-whitening-pca-bilstm,save\ag-news-bert-whitening-pca\ag-news-bert-whitening-pca-bilstm\summary_efficiency_30.csv,30
40,3,,Total,882.4126138687134,420.67822265625,ag-news-bert-whitening-pca,ag-news-bert-whitening-pca-bilstm,save\ag-news-bert-whitening-pca\ag-news-bert-whitening-pca-bilstm\summary_efficiency_40.csv,40
50,3,,Total,1255.7487819194794,420.67822265625,ag-news-bert-whitening-pca,ag-news-bert-whitening-pca-bilstm,save\ag-news-bert-whitening-pca\ag-news-bert-whitening-pca-bilstm\summary_efficiency_50.csv,50
60,3,,Total,1642.0275175571442,420.67822265625,ag-news-bert-whitening-pca,ag-news-bert-whitening-pca-bilstm,save\ag-news-bert-whitening-pca\ag-news-bert-whitening-pca-bilstm\summary_efficiency_60.csv,60
70,3,,Total,2093.13284611702,420.67822265625,ag-news-bert-whitening-pca,ag-news-bert-whitening-pca-bilstm,save\ag-news-bert-whitening-pca\ag-news-bert-whitening-pca-bilstm\summary_efficiency_70.csv,70
80,3,,Total,2609.891542673111,420.67822265625,ag-news-bert-whitening-pca,ag-news-bert-whitening-pca-bilstm,save\ag-news-bert-whitening-pca\ag-news-bert-whitening-pca-bilstm\summary_efficiency_80.csv,80
90,3,,Total,3157.228366136551,420.67822265625,ag-news-bert-whitening-pca,ag-news-bert-whitening-pca-bilstm,save\ag-news-bert-whitening-pca\ag-news-bert-whitening-pca-bilstm\summary_efficiency_90.csv,90
10,3,,Total,139.82571411132812,418.759765625,ag-news-bert-whitening-pca,ag-news-bert-whitening-pca-mlp,save\ag-news-bert-whitening-pca\ag-news-bert-whitening-pca-mlp\summary_efficiency_10.csv,10
100,3,,Total,3685.810518741608,418.759765625,ag-news-bert-whitening-pca,ag-news-bert-whitening-pca-mlp,save\ag-news-bert-whitening-pca\ag-news-bert-whitening-pca-mlp\summary_efficiency_100.csv,100
20,3,,Total,328.68026423454285,418.759765625,ag-news-bert-whitening-pca,ag-news-bert-whitening-pca-mlp,save\ag-news-bert-whitening-pca\ag-news-bert-whitening-pca-mlp\summary_efficiency_20.csv,20
30,3,,Total,552.5073170661926,418.759765625,ag-news-bert-whitening-pca,ag-news-bert-whitening-pca-mlp,save\ag-news-bert-whitening-pca\ag-news-bert-whitening-pca-mlp\summary_efficiency_30.csv,30
40,3,,Total,851.1090025901794,418.759765625,ag-news-bert-whitening-pca,ag-news-bert-whitening-pca-mlp,save\ag-news-bert-whitening-pca\ag-news-bert-whitening-pca-mlp\summary_efficiency_40.csv,40
