,,,elapsed_time,elapsed_time,elapsed_time,elapsed_time,elapsed_time,gpu_used,gpu_used
,,,mean,std,min,max,count,mean,max
dataset,experiment,ket,,,,,,,
ag-news-roberta-whitening-svd,ag-news-roberta-whitening-svd-bilstm,Dataloader,512.23,279.24,96.78,931.02,10,509.21,522.34
ag-news-roberta-whitening-svd,ag-news-roberta-whitening-svd-bilstm,Test,21.92,18.46,1.04,55.16,10,478.68,478.68
ag-news-roberta-whitening-svd,ag-news-roberta-whitening-svd-bilstm,Total,1610.52,1211.78,145.6,3722.65,10,478.68,478.68
ag-news-roberta-whitening-svd,ag-news-roberta-whitening-svd-bilstm,Train,1076.37,919.0,47.78,2736.46,10,479.48,479.48
ag-news-roberta-whitening-svd,ag-news-roberta-whitening-svd-mlp,Dataloader,512.36,280.0,96.1,929.16,10,509.21,522.34
ag-news-roberta-whitening-svd,ag-news-roberta-whitening-svd-mlp,Test,21.67,18.29,0.98,54.11,10,476.76,476.76
ag-news-roberta-whitening-svd,ag-news-roberta-whitening-svd-mlp,Total,1580.06,1203.97,136.02,3677.78,10,476.76,476.76
ag-news-roberta-whitening-svd,ag-news-roberta-whitening-svd-mlp,Train,1046.03,910.9,38.93,2694.51,10,476.82,476.82
ag-news-roberta-whitening-zca,ag-news-roberta-whitening-zca-bilstm,Dataloader,510.0,278.19,96.89,924.41,10,509.21,522.34
ag-news-roberta-whitening-zca,ag-news-roberta-whitening-zca-bilstm,Test,22.07,18.66,1.03,55.39,10,478.68,478.68
ag-news-roberta-whitening-zca,ag-news-roberta-whitening-zca-bilstm,Total,1607.48,1205.16,144.84,3668.27,10,478.68,478.68
ag-news-roberta-whitening-zca,ag-news-roberta-whitening-zca-bilstm,Train,1075.4,913.12,46.92,2688.47,10,479.48,479.48
ag-news-roberta-whitening-zca,ag-news-roberta-whitening-zca-mlp,Dataloader,516.93,280.77,113.94,943.32,10,509.21,522.34
ag-news-roberta-whitening-zca,ag-news-roberta-whitening-zca-mlp,Test,21.72,18.27,0.99,53.91,10,476.76,476.76
ag-news-roberta-whitening-zca,ag-news-roberta-whitening-zca-mlp,Total,1581.98,1195.64,154.16,3652.4,10,476.76,476.76
ag-news-roberta-whitening-zca,ag-news-roberta-whitening-zca-mlp,Train,1043.33,901.21,39.23,2655.17,10,476.82,476.82
