dataset,experiment,percentage,elapsed_time,gpu_used
ag-news-normal,bert_benchmark,10,406.38,1139.83
ag-news-normal,bert_benchmark,20,928.41,1139.83
ag-news-normal,bert_benchmark,30,1615.62,1139.83
ag-news-normal,bert_benchmark,40,2527.4,1200.81
ag-news-normal,bert_benchmark,50,3619.19,1200.81
ag-news-normal,bert_benchmark,60,4814.91,1200.81
ag-news-normal,bert_benchmark,70,6151.4,1200.81
ag-news-normal,bert_benchmark,80,7841.78,1200.81
ag-news-normal,bert_benchmark,90,9329.42,1200.81
ag-news-normal,bert_benchmark,100,11150.52,1200.81
ag-news-normal,distilbert_benchmark,10,400.48,1139.83
ag-news-normal,distilbert_benchmark,20,944.24,1139.83
ag-news-normal,distilbert_benchmark,30,1609.44,1139.83
ag-news-normal,distilbert_benchmark,40,2502.35,1200.81
ag-news-normal,distilbert_benchmark,50,3588.68,1200.81
ag-news-normal,distilbert_benchmark,60,4757.04,1200.81
ag-news-normal,distilbert_benchmark,70,6181.4,1200.81
ag-news-normal,distilbert_benchmark,80,7748.28,1200.81
ag-news-normal,distilbert_benchmark,90,9367.38,1200.81
ag-news-normal,distilbert_benchmark,100,11071.53,1200.81
ag-news-normal,roberta_benchmark,10,360.38,1113.73
ag-news-normal,roberta_benchmark,20,851.9,1113.73
ag-news-normal,roberta_benchmark,30,1484.8,1113.73
ag-news-normal,roberta_benchmark,40,2390.98,1167.73
ag-news-normal,roberta_benchmark,50,3394.62,1167.73
ag-news-normal,roberta_benchmark,60,4610.29,1167.73
ag-news-normal,roberta_benchmark,70,5890.2,1167.73
ag-news-normal,roberta_benchmark,80,7483.12,1167.73
ag-news-normal,roberta_benchmark,90,9093.57,1167.73
ag-news-normal,roberta_benchmark,100,10829.33,1167.73
